service_id;service_name;intent
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;Quanto tem disponível para usar
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;quando fecha minha fatura
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;Quando vence meu cartão
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;quando posso comprar
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;vencimento da fatura
1;Consulta Limite / Vencimento do cartão / Melhor dia de compra;valor para gastar
2;Segunda via de boleto de acordo;segunda via boleto de acordo
2;Segunda via de boleto de acordo;Boleto para pagar minha negociação
2;Segunda via de boleto de acordo;código de barras acordo
2;Segunda via de boleto de acordo;preciso pagar negociação
2;Segunda via de boleto de acordo;enviar boleto acordo
2;Segunda via de boleto de acordo;boleto da negociação
3;Segunda via de Fatura;quero meu boleto
3;Segunda via de Fatura;segunda via de fatura
3;Segunda via de Fatura;código de barras fatura
3;Segunda via de Fatura;quero a fatura do cartão
3;Segunda via de Fatura;enviar boleto da fatura
3;Segunda via de Fatura;fatura para pagamento
4;Status de Entrega do Cartão;onde está meu cartão
4;Status de Entrega do Cartão;meu cartão não chegou
4;Status de Entrega do Cartão;status da entrega do cartão
4;Status de Entrega do Cartão;cartão em transporte
4;Status de Entrega do Cartão;previsão de entrega do cartão
4;Status de Entrega do Cartão;cartão foi enviado?
5;Status de cartão;não consigo passar meu cartão
5;Status de cartão;meu cartão não funciona
5;Status de cartão;cartão recusado
5;Status de cartão;cartão não está passando
5;Status de cartão;status do cartão ativo
5;Status de cartão;problema com cartão
6;Solicitação de aumento de limite;quero mais limite
6;Solicitação de aumento de limite;aumentar limite do cartão
6;Solicitação de aumento de limite;solicitar aumento de crédito
6;Solicitação de aumento de limite;preciso de mais limite
6;Solicitação de aumento de limite;pedido de aumento de limite
6;Solicitação de aumento de limite;limite maior no cartão
7;Cancelamento de cartão;cancelar cartão
7;Cancelamento de cartão;quero encerrar meu cartão
7;Cancelamento de cartão;bloquear cartão definitivamente
7;Cancelamento de cartão;cancelamento de crédito
7;Cancelamento de cartão;desistir do cartão
8;Telefones de seguradoras;quero cancelar seguro
8;Telefones de seguradoras;telefone do seguro
8;Telefones de seguradoras;contato da seguradora
8;Telefones de seguradoras;preciso falar com o seguro
8;Telefones de seguradoras;seguro do cartão
8;Telefones de seguradoras;cancelar assistência
9;Desbloqueio de Cartão;desbloquear cartão
9;Desbloqueio de Cartão;ativar cartão novo
9;Desbloqueio de Cartão;como desbloquear meu cartão
9;Desbloqueio de Cartão;quero desbloquear o cartão
9;Desbloqueio de Cartão;cartão para uso imediato
9;Desbloqueio de Cartão;desbloqueio para compras
10;Esqueceu senha / Troca de senha;não tenho mais a senha do cartão
10;Esqueceu senha / Troca de senha;esqueci minha senha
10;Esqueceu senha / Troca de senha;trocar senha do cartão
10;Esqueceu senha / Troca de senha;preciso de nova senha
10;Esqueceu senha / Troca de senha;recuperar senha
10;Esqueceu senha / Troca de senha;senha bloqueada
11;Perda e roubo;perdi meu cartão
